 designator  | active |        id         |    program_id     
-------------+--------+-------------------+-------------------
 2009B-I0001 | f      | 20171002170508634 | 20171002165908206
 2009B-I0002 | f      | 20171002170705823 | 20171002165908206
 2014B-I0003 | f      | 20171002170803874 | 20171002165908206
 2014B-I0004 | f      | 20171002170808425 | 20171002165908206
 2015A-I0002 | f      | 20171002170809211 | 20171002165908206
 2015A-I0003 | f      | 20171002170901355 | 20171002165908206
 2015A-I0005 | f      | 20171002170904893 | 20171002165908206
 2016A-I0001 | f      | 20171002171002453 | 20171002165908206
 2016B-I0001 | f      | 20171002171006354 | 20171002165908206
 2016A-Cal   | f      | 20171002171409143 |                 3
 2016A-ENG   | f      | 20171002171501030 |                 3
 2016A-SEDm  | f      | 20171002172103823 | 20171002163457445
 2016A-J0001 | f      | 20171002172108325 | 20171002171903862
 2016B-J0001 | f      | 20171002172204526 | 20171002171903862
 2016B-C0001 | f      | 20171002172302563 | 20171002171957334
 2016B-C0002 | f      | 20171002172303653 | 20171002171957334
 2016B-C0003 | f      | 20171002172308972 | 20171002171957334
 2016B-T0001 | f      | 20171002172405634 | 20171002171926014
 weather     | t      | 20171002173207533 | 20171002165800047
 lockout     | t      | 20171002173209856 | 20171002165800047
 slew_time   | t      | 20171002173303264 | 20171002165800047

